results_dir,system,scenario_id,word_count,congruence,bertscore_f1
groq_gpt-oss-120b,VanillaLLM,choking_adult_01,673,1.0,0.7162
groq_gpt-oss-120b,VanillaLLM,cardiac_arrest_01,818,1.0,0.7259
groq_gpt-oss-120b,VanillaLLM,severe_bleeding_01,567,1.0,0.743
groq_gpt-oss-120b,VanillaLLM,heart_attack_01,540,1.0,0.7227
groq_gpt-oss-120b,VanillaLLM,burn_01,419,1.0,0.7271
groq_gpt-oss-120b,VanillaLLM,anaphylaxis_01,469,0.6666666666666666,0.7609
groq_gpt-oss-120b,VanillaLLM,seizure_01,605,1.0,0.7125
groq_gpt-oss-120b,VanillaLLM,minor_cut_01,550,1.0,0.7542
groq_gpt-oss-120b,IntentClassifier,choking_adult_01,22,0.25,0.712
groq_gpt-oss-120b,IntentClassifier,cardiac_arrest_01,51,1.0,0.903
groq_gpt-oss-120b,IntentClassifier,severe_bleeding_01,22,0.5,0.7283
groq_gpt-oss-120b,IntentClassifier,heart_attack_01,22,0.3333333333333333,0.7441
groq_gpt-oss-120b,IntentClassifier,burn_01,22,0.0,0.7112
groq_gpt-oss-120b,IntentClassifier,anaphylaxis_01,22,0.3333333333333333,0.7464
groq_gpt-oss-120b,IntentClassifier,seizure_01,22,0.0,0.7006
groq_gpt-oss-120b,IntentClassifier,minor_cut_01,38,1.0,0.937
groq_qwen3.6-27b,RAG,choking_adult_01,1351,1.0,0.7104
groq_qwen3.6-27b,RAG,cardiac_arrest_01,1031,1.0,0.7059
groq_qwen3.6-27b,RAG,severe_bleeding_01,1360,1.0,0.7001
groq_qwen3.6-27b,RAG,heart_attack_01,1367,0.6666666666666666,0.6618
groq_qwen3.6-27b,RAG,burn_01,1436,1.0,0.7264
groq_qwen3.6-27b,RAG,anaphylaxis_01,1053,0.3333333333333333,0.6802
groq_qwen3.6-27b,RAG,seizure_01,1383,1.0,0.6956
groq_qwen3.6-27b,RAG,minor_cut_01,1266,0.6666666666666666,0.7091
groq_qwen3.6-27b,VanillaLLM,choking_adult_01,943,1.0,0.699
groq_qwen3.6-27b,VanillaLLM,cardiac_arrest_01,1257,1.0,0.7219
groq_qwen3.6-27b,VanillaLLM,severe_bleeding_01,878,1.0,0.7001
groq_qwen3.6-27b,VanillaLLM,heart_attack_01,901,1.0,0.6998
groq_qwen3.6-27b,VanillaLLM,burn_01,1067,1.0,0.7313
groq_qwen3.6-27b,VanillaLLM,anaphylaxis_01,864,0.6666666666666666,0.7406
groq_qwen3.6-27b,VanillaLLM,seizure_01,1010,1.0,0.713
groq_qwen3.6-27b,VanillaLLM,minor_cut_01,802,1.0,0.7203
groq_qwen3.6-27b,IntentClassifier,choking_adult_01,22,0.25,0.712
groq_qwen3.6-27b,IntentClassifier,cardiac_arrest_01,51,1.0,0.903
groq_qwen3.6-27b,IntentClassifier,severe_bleeding_01,22,0.5,0.7283
groq_qwen3.6-27b,IntentClassifier,heart_attack_01,22,0.3333333333333333,0.7441
groq_qwen3.6-27b,IntentClassifier,burn_01,22,0.0,0.7112
groq_qwen3.6-27b,IntentClassifier,anaphylaxis_01,22,0.3333333333333333,0.7464
groq_qwen3.6-27b,IntentClassifier,seizure_01,22,0.0,0.7006
groq_qwen3.6-27b,IntentClassifier,minor_cut_01,38,1.0,0.937
gemini,RAG,choking_adult_01,126,1.0,0.7751
gemini,RAG,cardiac_arrest_01,217,1.0,0.746
gemini,RAG,severe_bleeding_01,167,1.0,0.7401
gemini,RAG,heart_attack_01,44,0.6666666666666666,0.785
gemini,RAG,burn_01,240,1.0,0.7552
gemini,RAG,anaphylaxis_01,32,0.0,0.739
gemini,RAG,seizure_01,166,0.6666666666666666,0.7727
gemini,RAG,minor_cut_01,182,0.6666666666666666,0.7822
gemini,VanillaLLM,choking_adult_01,419,1.0,0.741
gemini,VanillaLLM,cardiac_arrest_01,556,1.0,0.7354
gemini,VanillaLLM,severe_bleeding_01,253,1.0,0.7599
gemini,VanillaLLM,heart_attack_01,334,0.6666666666666666,0.7143
gemini,VanillaLLM,burn_01,445,1.0,0.7421
gemini,VanillaLLM,anaphylaxis_01,261,1.0,0.771
gemini,VanillaLLM,seizure_01,372,1.0,0.7373
gemini,VanillaLLM,minor_cut_01,461,1.0,0.7476
gemini,IntentClassifier,choking_adult_01,22,0.25,0.712
gemini,IntentClassifier,cardiac_arrest_01,51,1.0,0.903
gemini,IntentClassifier,severe_bleeding_01,22,0.5,0.7283
gemini,IntentClassifier,heart_attack_01,22,0.3333333333333333,0.7441
gemini,IntentClassifier,burn_01,22,0.0,0.7112
gemini,IntentClassifier,anaphylaxis_01,22,0.3333333333333333,0.7464
gemini,IntentClassifier,seizure_01,22,0.0,0.7006
gemini,IntentClassifier,minor_cut_01,38,1.0,0.937
lmstudio,RAG,choking_adult_01,142,1.0,0.7771
lmstudio,RAG,cardiac_arrest_01,133,1.0,0.7648
lmstudio,RAG,severe_bleeding_01,150,1.0,0.7563
lmstudio,RAG,heart_attack_01,77,0.6666666666666666,0.7773
lmstudio,RAG,burn_01,242,1.0,0.748
lmstudio,RAG,anaphylaxis_01,78,0.3333333333333333,0.7308
lmstudio,RAG,seizure_01,233,0.6666666666666666,0.7535
lmstudio,RAG,minor_cut_01,169,0.6666666666666666,0.7741
real,RAG,choking_adult_01,259,1.0,0.7695
real,RAG,cardiac_arrest_01,229,0.6666666666666666,0.7313
real,RAG,severe_bleeding_01,378,1.0,0.7291
real,RAG,heart_attack_01,75,0.3333333333333333,0.7783
real,RAG,burn_01,187,0.5,0.7604
real,RAG,anaphylaxis_01,129,0.0,0.7307
real,RAG,seizure_01,174,0.0,0.7586
real,RAG,minor_cut_01,247,1.0,0.8009
real,VanillaLLM,choking_adult_01,260,0.25,0.7162
real,VanillaLLM,cardiac_arrest_01,259,0.6666666666666666,0.7283
real,VanillaLLM,severe_bleeding_01,243,1.0,0.7263
real,VanillaLLM,heart_attack_01,288,0.3333333333333333,0.7334
real,VanillaLLM,burn_01,255,0.5,0.7534
real,VanillaLLM,anaphylaxis_01,248,0.3333333333333333,0.716
real,VanillaLLM,seizure_01,257,0.0,0.7204
real,VanillaLLM,minor_cut_01,200,1.0,0.7847
real,IntentClassifier,choking_adult_01,22,0.25,0.712
real,IntentClassifier,cardiac_arrest_01,51,1.0,0.903
real,IntentClassifier,severe_bleeding_01,22,0.5,0.7283
real,IntentClassifier,heart_attack_01,22,0.3333333333333333,0.7441
real,IntentClassifier,burn_01,22,0.0,0.7112
real,IntentClassifier,anaphylaxis_01,22,0.3333333333333333,0.7464
real,IntentClassifier,seizure_01,22,0.0,0.7006
real,IntentClassifier,minor_cut_01,38,1.0,0.937
